Diabetic Retinopathy Stage,Diet Preference,Meal type,Recommended Food,Carbohydrate(g),Vitamins,Proteins(g),Minerals,Calories(kcal),Preferred Exercise,Avoid,Age Group,Region,BMI,Health Routine,Day of Week
Moderate Retinopathy,Vegan,Lunch,"Bajra Roti, Handvo, Methi Thepla, Paneer Bhurji, Roasted Foxnuts, Tomato Shorba",45,8,18,11,432,Brisk Walking,Soft Drinks,18-25,North,21.4,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Tuesday
Mild Retinopathy,Non Vegetarian,Snacks,"Barley Risotto, Bisi Bele Bath, Chicken Stew, Paneer Cutlet, Stuffed Capsicum, Tandoori Chicken",42,9,22,12,370,Swimming,Excess Salt,46-60,North,29.7,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Saturday
No retinopathy,Vegetarian,Snacks,"Baingan Bharta, Egg Bhurji, Egg Paratha, Gatte ki Sabzi, Masala Idli, Methi Paratha",39,13,14,11,388,Strength Training,Processed Foods,36-45,East,26.8,Stay hydrated and drink at least 8 glasses of water daily.,Tuesday
Mild Retinopathy,Vegan,Breakfast,"Aloo Paratha, Fish Curry, Masoor Dal, Mutton Biryani, Quinoa Salad, Vegetable Handvo",34,12,8,7,274,Cycling,Processed Foods,18-25,East,24.4,Limit your intake of caffeine and alcohol.,Sunday
Proliferative Retinopathy,Non Vegetarian,Dinner,"Handvo, Jeera Rice, Keema Pulao, Lauki Kofta, Masala Papad, Stuffed Tinda",31,12,19,9,384,Brisk Walking,Excess Salt,46-60,Central,25.2,Get enough sleep to support overall health.,Wednesday
Proliferative Retinopathy,Vegetarian,Snacks,"Chia Pudding, Coconut Chutney, Green Gram Curry, Moong Dal Chilla, Oats Idli, Vegetable Daliya",53,12,21,14,498,Stretching,Processed Foods,46-60,West,18,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Saturday
Mild Retinopathy,Non Vegetarian,Dinner,"Cucumber Raita, Fish Korma, Lauki Curry, Masala Egg Toast, Tomato Shorba, Turkey Kebab",40,14,12,8,335,Stretching,Soft Drinks,60+,South,29.9,Exercise regularly to maintain healthy weight and sugar levels.,Wednesday
Moderate Retinopathy,Non Vegetarian,Lunch,"Boiled Egg Salad, Cabbage Stir Fry, Egg Muffins, Palak Kofta, Palak Paneer, Paneer Bhurji",45,7,16,9,390,Yoga,Refined Flour,26-35,East,24.1,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Tuesday
Moderate Retinopathy,Vegetarian,Dinner,"Almond Milk Smoothie, Egg Bhurji, Gatte ki Sabzi, Mutton Seekh, Poha, Stuffed Capsicum",33,14,22,15,474,Cycling,Refined Flour,26-35,East,28.3,Limit your intake of caffeine and alcohol.,Sunday
Moderate Retinopathy,Vegetarian,Snacks,"Barley Risotto, Chia Pudding, Cucumber Raita, Gatte ki Sabzi, Tandoori Chicken, Tomato Shorba",34,10,17,6,410,Yoga,Refined Flour,18-25,North,22.2,Limit your intake of caffeine and alcohol.,Thursday
Proliferative Retinopathy,Vegan,Snacks,"Chana Sundal, Daliya Upma, Fish Korma, Lauki Kofta, Moong Dal Chilla, Rava Idli",42,7,9,15,253,Swimming,Excess Salt,46-60,South,27.8,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Thursday
Mild Retinopathy,Vegan,Snacks,"Cabbage Stir Fry, Fish Curry, Handvo, Keema Pulao, Palak Paneer, Stuffed Capsicum",51,10,17,7,302,Brisk Walking,Excess Salt,18-25,West,26,"Include high-fiber foods like oats, vegetables, and legumes.",Tuesday
Mild Retinopathy,Non Vegetarian,Dinner,"Egg Muffins, Oats Idli, Palak Kofta, Ragi Dosa, Rajma Curry, Stuffed Tinda",55,9,22,13,261,Swimming,Processed Foods,46-60,Central,19.7,Get enough sleep to support overall health.,Friday
No retinopathy,Vegetarian,Dinner,"Bisi Bele Bath, Fish Korma, Mutton Seekh, Palak Kofta, Tofu Bhurji, Vegan Dum Biryani",45,11,8,7,493,Brisk Walking,Refined Flour,36-45,East,18.2,Limit your intake of caffeine and alcohol.,Sunday
Moderate Retinopathy,Vegan,Breakfast,"Chickpea Curry, Keema Pulao, Lauki Curry, Masoor Dal, Poha, Tofu Bhurji",32,8,21,10,251,Brisk Walking,Refined Flour,36-45,East,21,"Eat small, frequent meals to maintain blood sugar levels.",Friday
No retinopathy,Vegetarian,Lunch,"Chana Sundal, Chicken Stew, Chole with Bhatura, Pumpkin Dal, Tofu Stir Fry, Tomato Shorba",40,13,22,13,376,Swimming,Soft Drinks,18-25,South,18.6,Exercise regularly to maintain healthy weight and sugar levels.,Friday
Mild Retinopathy,Non Vegetarian,Lunch,"Egg Bhurji, Jeera Rice, Methi Thepla, Oats Chilla, Sprouted Chana Salad, Vegan Pancakes",43,7,21,11,397,Stretching,Sugary Foods,26-35,East,19.7,Practice mindfulness and stress-reducing activities.,Friday
No retinopathy,Vegan,Lunch,"Egg Paratha, Green Gram Curry, Masala Egg Toast, Millet Porridge, Mutton Seekh, Ragi Dosa",41,13,15,9,355,Stretching,Excess Salt,26-35,West,23.8,Get enough sleep to support overall health.,Friday
Proliferative Retinopathy,Vegetarian,Snacks,"Chana Sundal, Methi Paratha, Oats Idli, Paneer Bhurji, Rava Idli, Stuffed Capsicum",53,6,22,7,359,Brisk Walking,Sugary Foods,36-45,North,29.6,"Eat small, frequent meals to maintain blood sugar levels.",Saturday
Severe Retinopathy,Non Vegetarian,Dinner,"Barley Risotto, Chole with Bhatura, Handvo, Methi Thepla, Rajma Pulao, Tomato Shorba",38,9,11,15,341,Brisk Walking,Refined Flour,46-60,West,26.5,Exercise regularly to maintain healthy weight and sugar levels.,Saturday
No retinopathy,Vegetarian,Dinner,"Barley Risotto, Bisi Bele Bath, Masoor Dal, Mutton Biryani, Mutton Seekh, Vegan Pancakes",55,13,13,10,368,Strength Training,Deep Fried Items,46-60,South,22.5,Limit your intake of caffeine and alcohol.,Saturday
Severe Retinopathy,Vegan,Snacks,"Baingan Bharta, Barnyard Millet Pongal, Chia Pudding, Gatte ki Sabzi, Lauki Curry, Sweet Potato Hash",53,14,22,9,281,Swimming,Deep Fried Items,60+,West,21.7,"Eat small, frequent meals to maintain blood sugar levels.",Wednesday
Proliferative Retinopathy,Vegan,Snacks,"Barley Risotto, Cabbage Stir Fry, Jeera Rice, Masala Egg Toast, Methi Thepla, Pumpkin Soup",51,8,11,14,496,Brisk Walking,Sugary Foods,46-60,West,25.8,Keep a food diary to monitor your eating habits.,Tuesday
Moderate Retinopathy,Non Vegetarian,Lunch,"Cucumber Raita, Handvo, Masala Papad, Masoor Dal, Palak Kofta, Tofu Stir Fry",55,10,20,5,434,Strength Training,Refined Flour,36-45,East,20.8,Avoid skipping meals and maintain consistent meal timings.,Sunday
Severe Retinopathy,Non Vegetarian,Lunch,"Amaranth Dal, Barley Risotto, Boiled Egg Salad, Gatte ki Sabzi, Handvo, Roasted Foxnuts",52,14,10,5,375,Cycling,Sugary Foods,36-45,North,29.7,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Tuesday
Mild Retinopathy,Non Vegetarian,Dinner,"Amaranth Dal, Egg Paratha, Pumpkin Dal, Pumpkin Soup, Rajma Curry, Turkey Kebab",43,13,19,9,271,Yoga,Excess Salt,26-35,East,29.1,Avoid skipping meals and maintain consistent meal timings.,Monday
No retinopathy,Non Vegetarian,Dinner,"Barnyard Millet Pongal, Chickpea Curry, Coconut Chutney, Lauki Curry, Masala Papad, Tandoori Chicken",55,12,12,14,310,Strength Training,Sugary Foods,36-45,South,20.9,"Eat small, frequent meals to maintain blood sugar levels.",Friday
Moderate Retinopathy,Non Vegetarian,Dinner,"Barley Risotto, Boiled Egg Salad, Chole with Bhatura, Egg Bhurji, Palak Kofta, Vegetable Daliya",53,8,15,10,268,Cycling,Deep Fried Items,46-60,East,20.4,Exercise regularly to maintain healthy weight and sugar levels.,Wednesday
Mild Retinopathy,Vegan,Dinner,"Cucumber Raita, Egg Bhurji, Grilled Salmon, Rava Idli, Sweet Corn Salad, Vegetable Daliya",38,6,21,12,510,Cycling,Processed Foods,36-45,Central,26.7,"Eat small, frequent meals to maintain blood sugar levels.",Sunday
Proliferative Retinopathy,Vegetarian,Lunch,"Masala Egg Toast, Paneer Cutlet, Roasted Foxnuts, Sweet Potato Hash, Turkey Kebab, Vegetable Handvo",41,11,18,12,406,Strength Training,Soft Drinks,60+,East,21.7,Exercise regularly to maintain healthy weight and sugar levels.,Friday
Moderate Retinopathy,Vegan,Lunch,"Chicken Sandwich, Chicken Stew, Chickpea Curry, Multigrain Sandwich, Tomato Shorba, Vegetable Upma",47,12,17,13,262,Stretching,Deep Fried Items,46-60,South,30,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Friday
No retinopathy,Vegan,Breakfast,"Chickpea Curry, Daliya Upma, Kadhi Pakora, Rajma Pulao, Stuffed Capsicum, Tofu Bhurji",31,9,8,15,308,Yoga,Soft Drinks,46-60,North,23.8,"Eat small, frequent meals to maintain blood sugar levels.",Thursday
Proliferative Retinopathy,Vegan,Snacks,"Avocado Toast, Handvo, Kadhi Pakora, Sweet Corn Salad, Tandoori Chicken, Vegetable Handvo",44,6,18,15,254,Brisk Walking,Refined Flour,60+,North,22,Stay hydrated and drink at least 8 glasses of water daily.,Wednesday
Proliferative Retinopathy,Non Vegetarian,Lunch,"Bajra Roti, Palak Kofta, Pumpkin Dal, Sprouted Chana Salad, Stuffed Capsicum, Vegetable Handvo",32,7,8,9,391,Stretching,Processed Foods,46-60,Central,22.2,Practice mindfulness and stress-reducing activities.,Thursday
Moderate Retinopathy,Vegan,Breakfast,"Cucumber Raita, Daliya Upma, Oats Chilla, Rajma Pulao, Sprouted Chana Salad, Vegetable Upma",41,13,16,7,402,Brisk Walking,Deep Fried Items,60+,East,20.9,Get enough sleep to support overall health.,Tuesday
Severe Retinopathy,Vegan,Snacks,"Avocado Toast, Bisi Bele Bath, Mutton Seekh, Rava Idli, Tofu Bhurji, Vegetable Daliya",37,14,12,6,510,Yoga,Processed Foods,18-25,East,28.9,"Include high-fiber foods like oats, vegetables, and legumes.",Tuesday
Proliferative Retinopathy,Vegan,Snacks,"Bajra Roti, Barnyard Millet Pongal, Grilled Salmon, Ragi Dosa, Rajma Curry, Tandoori Chicken",33,8,18,11,387,Cycling,Processed Foods,46-60,Central,23.3,"Eat small, frequent meals to maintain blood sugar levels.",Tuesday
Mild Retinopathy,Vegan,Lunch,"Coconut Chutney, Masala Makhanas, Oats Chilla, Poha, Rajma Pulao, Vegetable Daliya",36,10,13,13,481,Strength Training,Soft Drinks,18-25,North,18.8,Avoid skipping meals and maintain consistent meal timings.,Saturday
No retinopathy,Vegetarian,Lunch,"Baingan Bharta, Kadhi with Rice, Keema Pulao, Masala Papad, Methi Thepla, Multigrain Sandwich",37,6,19,15,356,Stretching,Refined Flour,26-35,East,28.2,"Include high-fiber foods like oats, vegetables, and legumes.",Tuesday
No retinopathy,Non Vegetarian,Lunch,"Bisi Bele Bath, Coconut Chutney, Gatte ki Sabzi, Handvo, Methi Thepla, Oats Chilla",54,7,19,11,346,Yoga,Excess Salt,18-25,West,23.4,"Include high-fiber foods like oats, vegetables, and legumes.",Tuesday
Moderate Retinopathy,Non Vegetarian,Breakfast,"Baingan Bharta, Boiled Egg Salad, Egg Paratha, Kadhi Pakora, Masala Egg Toast, Spinach Khichdi",42,6,10,13,492,Brisk Walking,Refined Flour,26-35,Central,25.1,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Friday
No retinopathy,Vegetarian,Lunch,"Chia Pudding, Daliya Upma, Paneer Bhurji, Quinoa Salad, Sprouted Chana Salad, Vegetable Daliya",46,11,16,14,462,Yoga,Sugary Foods,60+,South,21.5,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Friday
No retinopathy,Non Vegetarian,Snacks,"Amaranth Dal, Stuffed Capsicum, Stuffed Tinda, Sweet Corn Salad, Vegan Dum Biryani, Vegetable Upma",50,13,14,9,519,Cycling,Refined Flour,26-35,West,29.3,Stay hydrated and drink at least 8 glasses of water daily.,Thursday
Proliferative Retinopathy,Non Vegetarian,Snacks,"Barnyard Millet Pongal, Keema Pulao, Masoor Dal, Poha, Sweet Corn Salad, Sweet Potato Hash",45,12,19,10,507,Swimming,Excess Salt,18-25,Central,29.2,Avoid skipping meals and maintain consistent meal timings.,Friday
Proliferative Retinopathy,Vegetarian,Lunch,"Amaranth Dal, Chicken Sandwich, Chole with Bhatura, Kadhi with Rice, Mutton Seekh, Spinach Khichdi",33,10,17,12,491,Swimming,Deep Fried Items,46-60,Central,23,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Friday
No retinopathy,Vegetarian,Lunch,"Dhokla, Gatte ki Sabzi, Jeera Rice, Paneer Cutlet, Rajma Pulao, Vegan Pancakes",49,12,8,5,283,Cycling,Processed Foods,46-60,South,28.9,Avoid skipping meals and maintain consistent meal timings.,Sunday
Proliferative Retinopathy,Vegetarian,Breakfast,"Amaranth Dal, Barnyard Millet Pongal, Chicken Stew, Grilled Salmon, Oats Chilla, Stuffed Tinda",35,11,21,8,430,Swimming,Refined Flour,46-60,East,18.7,Limit your intake of caffeine and alcohol.,Friday
Moderate Retinopathy,Vegetarian,Breakfast,"Barnyard Millet Pongal, Boiled Egg Salad, Chole with Bhatura, Grilled Salmon, Rajma Pulao, Vegan Pancakes",32,9,15,11,306,Strength Training,Processed Foods,18-25,North,22.9,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Tuesday
No retinopathy,Vegan,Dinner,"Almond Milk Smoothie, Avocado Toast, Palak Kofta, Rava Idli, Stuffed Capsicum, Sweet Potato Hash",30,7,13,5,371,Stretching,Deep Fried Items,46-60,Central,22.1,"Include high-fiber foods like oats, vegetables, and legumes.",Friday
Proliferative Retinopathy,Vegetarian,Breakfast,"Baingan Bharta, Bajra Roti, Coconut Chutney, Jeera Rice, Palak Kofta, Rajma Curry",30,14,8,5,489,Brisk Walking,Processed Foods,26-35,South,19.5,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Thursday
Severe Retinopathy,Non Vegetarian,Dinner,"Almond Milk Smoothie, Aloo Paratha, Barley Risotto, Egg Paratha, Palak Paneer, Sprouted Chana Salad",45,8,19,10,520,Stretching,Deep Fried Items,36-45,South,19.6,Limit your intake of caffeine and alcohol.,Saturday
No retinopathy,Vegetarian,Breakfast,"Aloo Paratha, Chicken Stew, Chickpea Curry, Masala Egg Toast, Palak Kofta, Sprouted Chana Salad",47,6,20,10,331,Cycling,Deep Fried Items,18-25,South,23.8,"Eat small, frequent meals to maintain blood sugar levels.",Thursday
Proliferative Retinopathy,Non Vegetarian,Breakfast,"Chicken Stew, Kadhi with Rice, Masala Idli, Masala Makhanas, Spinach Khichdi, Tomato Shorba",42,8,11,8,494,Cycling,Processed Foods,46-60,North,21.8,"Eat small, frequent meals to maintain blood sugar levels.",Sunday
Moderate Retinopathy,Vegan,Lunch,"Amaranth Dal, Chia Pudding, Daliya Upma, Handvo, Quinoa Salad, Stuffed Capsicum",50,13,9,13,283,Swimming,Excess Salt,46-60,North,25.3,"Eat small, frequent meals to maintain blood sugar levels.",Thursday
No retinopathy,Vegetarian,Snacks,"Masala Makhanas, Masala Papad, Multigrain Sandwich, Rava Idli, Tandoori Chicken, Vegan Pancakes",42,11,18,5,404,Strength Training,Sugary Foods,18-25,North,29.4,Exercise regularly to maintain healthy weight and sugar levels.,Saturday
Moderate Retinopathy,Vegetarian,Breakfast,"Barnyard Millet Pongal, Chicken Stew, Egg Paratha, Gatte ki Sabzi, Mutton Biryani, Tomato Shorba",43,7,13,12,296,Strength Training,Soft Drinks,18-25,North,30,Exercise regularly to maintain healthy weight and sugar levels.,Sunday
Mild Retinopathy,Non Vegetarian,Lunch,"Aloo Paratha, Bajra Roti, Fish Curry, Masala Papad, Millet Porridge, Rajma Curry",36,10,18,5,353,Cycling,Soft Drinks,18-25,West,18.9,Keep a food diary to monitor your eating habits.,Friday
Moderate Retinopathy,Non Vegetarian,Snacks,"Almond Milk Smoothie, Egg Muffins, Fish Korma, Moong Dal Chilla, Tofu Bhurji, Vegan Dum Biryani",30,8,12,8,440,Yoga,Refined Flour,46-60,East,28.3,Stay hydrated and drink at least 8 glasses of water daily.,Wednesday
No retinopathy,Vegan,Lunch,"Gatte ki Sabzi, Palak Kofta, Paneer Cutlet, Tofu Stir Fry, Vegan Dum Biryani, Vegan Pancakes",38,14,12,15,263,Stretching,Processed Foods,46-60,East,23.6,"Include high-fiber foods like oats, vegetables, and legumes.",Tuesday
Moderate Retinopathy,Vegetarian,Breakfast,"Fish Curry, Jeera Rice, Lauki Curry, Masala Papad, Roasted Foxnuts, Vegan Dum Biryani",44,7,22,11,330,Swimming,Processed Foods,36-45,North,22.9,"Eat small, frequent meals to maintain blood sugar levels.",Monday
Mild Retinopathy,Vegetarian,Breakfast,"Chickpea Curry, Masala Idli, Paneer Bhurji, Tofu Bhurji, Turkey Kebab, Vegan Dum Biryani",40,11,10,9,250,Cycling,Soft Drinks,36-45,North,25.5,Stay hydrated and drink at least 8 glasses of water daily.,Saturday
Proliferative Retinopathy,Non Vegetarian,Dinner,"Bisi Bele Bath, Masala Papad, Methi Paratha, Oats Idli, Tofu Stir Fry, Vegan Dum Biryani",39,14,22,12,337,Cycling,Deep Fried Items,46-60,North,18.3,Avoid skipping meals and maintain consistent meal timings.,Saturday
No retinopathy,Non Vegetarian,Snacks,"Boiled Egg Salad, Chickpea Curry, Chole with Bhatura, Lauki Curry, Lauki Kofta, Oats Idli",41,12,14,7,495,Strength Training,Processed Foods,18-25,East,21.1,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Friday
Mild Retinopathy,Vegetarian,Breakfast,"Aloo Paratha, Cucumber Raita, Grilled Salmon, Masala Idli, Methi Paratha, Ragi Dosa",41,13,10,13,348,Stretching,Refined Flour,46-60,Central,25.6,Get enough sleep to support overall health.,Wednesday
Severe Retinopathy,Vegan,Breakfast,"Baingan Bharta, Barley Risotto, Chana Sundal, Quinoa Salad, Rava Idli, Stuffed Tinda",54,8,8,9,286,Cycling,Deep Fried Items,36-45,South,25.1,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Thursday
Proliferative Retinopathy,Vegetarian,Snacks,"Baingan Bharta, Dhokla, Fish Curry, Millet Porridge, Moong Dal Chilla, Rajma Curry",38,6,14,6,500,Strength Training,Deep Fried Items,46-60,South,20.7,Practice mindfulness and stress-reducing activities.,Saturday
Moderate Retinopathy,Non Vegetarian,Breakfast,"Aloo Paratha, Chia Pudding, Cucumber Raita, Daliya Upma, Green Gram Curry, Handvo",47,11,13,15,405,Yoga,Sugary Foods,36-45,South,25.5,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Friday
Mild Retinopathy,Vegetarian,Snacks,"Fish Curry, Fish Korma, Green Gram Curry, Tomato Shorba, Vegan Pancakes, Vegetable Handvo",32,9,16,13,363,Brisk Walking,Soft Drinks,60+,West,29.7,Limit your intake of caffeine and alcohol.,Monday
No retinopathy,Non Vegetarian,Breakfast,"Boiled Egg Salad, Chia Pudding, Green Gram Curry, Masoor Dal, Millet Porridge, Vegetable Upma",35,8,17,7,406,Swimming,Refined Flour,18-25,North,28,Stay hydrated and drink at least 8 glasses of water daily.,Thursday
Proliferative Retinopathy,Vegan,Dinner,"Amaranth Dal, Boiled Egg Salad, Masoor Dal, Methi Paratha, Pumpkin Dal, Tomato Shorba",51,12,8,10,347,Brisk Walking,Soft Drinks,18-25,South,20.8,"Include high-fiber foods like oats, vegetables, and legumes.",Wednesday
Proliferative Retinopathy,Non Vegetarian,Dinner,"Avocado Toast, Cabbage Stir Fry, Chickpea Curry, Palak Kofta, Rava Idli, Tandoori Chicken",53,12,16,10,309,Brisk Walking,Deep Fried Items,36-45,Central,23.7,"Include high-fiber foods like oats, vegetables, and legumes.",Saturday
No retinopathy,Vegan,Snacks,"Daliya Upma, Lauki Curry, Poha, Rava Idli, Roasted Foxnuts, Tofu Stir Fry",37,6,15,14,270,Cycling,Refined Flour,46-60,West,18.3,Get enough sleep to support overall health.,Tuesday
No retinopathy,Vegetarian,Lunch,"Barley Risotto, Chana Sundal, Masala Makhanas, Masoor Dal, Mutton Biryani, Palak Kofta",35,13,13,14,285,Swimming,Excess Salt,36-45,North,19,Practice mindfulness and stress-reducing activities.,Saturday
No retinopathy,Non Vegetarian,Snacks,"Aloo Paratha, Chicken Stew, Daliya Upma, Egg Bhurji, Jeera Rice, Mutton Seekh",54,8,11,9,362,Stretching,Refined Flour,18-25,South,27,Stay hydrated and drink at least 8 glasses of water daily.,Tuesday
Moderate Retinopathy,Non Vegetarian,Breakfast,"Bajra Roti, Cucumber Raita, Egg Muffins, Mutton Biryani, Tofu Bhurji, Tofu Stir Fry",53,11,16,14,501,Stretching,Processed Foods,46-60,East,22.7,Stay hydrated and drink at least 8 glasses of water daily.,Friday
Mild Retinopathy,Vegan,Breakfast,"Chia Pudding, Chickpea Curry, Cucumber Raita, Fish Korma, Stuffed Capsicum, Vegetable Handvo",38,7,14,8,264,Brisk Walking,Soft Drinks,46-60,Central,27.7,Stay hydrated and drink at least 8 glasses of water daily.,Saturday
Severe Retinopathy,Non Vegetarian,Snacks,"Cabbage Stir Fry, Kadhi Pakora, Masala Makhanas, Oats Idli, Vegan Pancakes, Vegetable Upma",39,14,12,13,384,Brisk Walking,Excess Salt,46-60,East,27.9,Practice mindfulness and stress-reducing activities.,Saturday
Severe Retinopathy,Vegan,Snacks,"Baingan Bharta, Barnyard Millet Pongal, Chole with Bhatura, Cucumber Raita, Oats Chilla, Paneer Bhurji",39,9,11,8,354,Strength Training,Soft Drinks,46-60,North,23.3,Stay hydrated and drink at least 8 glasses of water daily.,Wednesday
Proliferative Retinopathy,Vegetarian,Dinner,"Cucumber Raita, Egg Bhurji, Jeera Rice, Keema Pulao, Oats Chilla, Palak Paneer",39,6,18,15,381,Strength Training,Soft Drinks,46-60,Central,27.4,Practice mindfulness and stress-reducing activities.,Sunday
